Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"callTestCase(findTestCase(""Scenario 12/S12_TC006.2.1-Create Shipping Route ETD TransportDay ETA""), [""EtdWeekDay"":ETDWeekDay, ""TransportDays"":TransportDays], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-30 21:50:15,2023-10-30 21:50:21,5.936s,PASSED
"setText(findTestObject(""Object Repository/Scenario 13/S13_TC033_Shipping_Route/input__cyCloseDays""), CloseDays)",Chrome 118.0.0.0,,,2023-10-30 21:50:21,2023-10-30 21:50:22,1.018s,PASSED
"click(findTestObject(""Object Repository/Scenario 13/S13_TC033_Shipping_Route/button__firstEtd""))",Chrome 118.0.0.0,,,2023-10-30 21:50:22,2023-10-30 21:50:23,0.586s,PASSED
firstdayetd = Integer.parseInt(DayFirstETD),Chrome 118.0.0.0,,,2023-10-30 21:50:23,2023-10-30 21:50:23,0.001s,PASSED
firstmonthetd = Integer.parseInt(MonthFirstETD),Chrome 118.0.0.0,,,2023-10-30 21:50:23,2023-10-30 21:50:23,0.001s,PASSED
firstyearetd = Integer.parseInt(YearFirstETD),Chrome 118.0.0.0,,,2023-10-30 21:50:23,2023-10-30 21:50:23,0.000s,PASSED
"util.handlePicker2.handleCalendar(findTestObject(""Scenario 13/S13_TC033_Shipping_Route/div_calendar header""), findTestObject(""Scenario 13/S13_TC033_Shipping_Route/button next calendar""), findTestObject(""Scenario 13/S13_TC033_Shipping_Route/button previous calendar""), firstdayetd, firstmonthetd, firstyearetd)",Chrome 118.0.0.0,,,2023-10-30 21:50:23,2023-10-30 21:50:28,4.861s,PASSED
"click(findTestObject(""Object Repository/Scenario 13/S13_TC033_Shipping_Route/button__lastEtd""))",Chrome 118.0.0.0,,,2023-10-30 21:50:28,2023-10-30 21:50:28,0.902s,PASSED
lastdayetd = Integer.parseInt(DayLastETD),Chrome 118.0.0.0,,,2023-10-30 21:50:28,2023-10-30 21:50:28,0.001s,PASSED
lastmonthetd = Integer.parseInt(MonthLastETD),Chrome 118.0.0.0,,,2023-10-30 21:50:28,2023-10-30 21:50:28,0.001s,PASSED
lastyearetd = Integer.parseInt(YearLastETD),Chrome 118.0.0.0,,,2023-10-30 21:50:28,2023-10-30 21:50:28,0.002s,PASSED
"util.handlePicker2.handleCalendar(findTestObject(""Scenario 13/S13_TC033_Shipping_Route/div_calendar header""), findTestObject(""Scenario 13/S13_TC033_Shipping_Route/button next calendar""), findTestObject(""Scenario 13/S13_TC033_Shipping_Route/button previous calendar""), lastdayetd, lastmonthetd, lastyearetd)",Chrome 118.0.0.0,,,2023-10-30 21:50:28,2023-10-30 21:50:40,11.770s,PASSED
"callTestCase(findTestCase(""Scenario 12/S12_TC006.2.2-Create Shipping Route SF Week""), [""ShippingFrequency"":ShippingFrequencyWeeks], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-30 21:50:40,2023-10-30 21:50:44,3.740s,PASSED
"click(findTestObject(""Scenario 13/S13_TC033_Shipping_Route/span_Confirm""))",Chrome 118.0.0.0,,,2023-10-30 21:50:44,2023-10-30 21:50:45,0.785s,PASSED
delay(1),Chrome 118.0.0.0,,,2023-10-30 21:50:45,2023-10-30 21:50:46,1.028s,PASSED
"util.ScrollToElement.clickUsingJS(findTestObject(""Object Repository/Scenario 13/S13_TC033_Shipping_Route/button_Save""), 1)",Chrome 118.0.0.0,,,2023-10-30 21:50:46,2023-10-30 21:50:46,0.515s,PASSED
"verifyElementText(findTestObject(""Object Repository/Scenario 13/S13_TC033_Shipping_Route/p_The operation was successful""), ""The operation was successful."")",Chrome 118.0.0.0,The operation was successful.,,2023-10-30 21:50:46,2023-10-30 21:50:51,4.482s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-30 21:50:51,2023-10-30 21:50:52,0.854s,PASSED
Start listener action : afterTestCase,Chrome 118.0.0.0,,,2023-10-30 21:50:52,2023-10-30 21:50:52,0.030s,PASSED
,,,,,,,
Test Cases/Scenario 17/S17_TC002- Supplier Receive Request List,Chrome 118.0.0.0,,,2023-10-30 21:50:52,2023-10-30 21:52:59,2m - 7.263s,PASSED
Start listener action : beforeTestCase,Chrome 118.0.0.0,,,2023-10-30 21:50:58,2023-10-30 21:50:58,0.001s,PASSED
"callTestCase(findTestCase(""0-Common/Login to Brivge""), [""url"":BRIVGE_URL, ""username"":BAF_USERNAME_FATIN, ""password"":BAF_PWD, ""verificationCode"":VERIFICATION_CODE, ""company"":S17_BAF_SUP], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-30 21:50:58,2023-10-30 21:51:36,37.630s,PASSED
"click(findTestObject(""Scenario 13/S13_TC035/Page_Brivge/button_Master""))",Chrome 118.0.0.0,,,2023-10-30 21:51:36,2023-10-30 21:51:39,2.709s,PASSED
"click(findTestObject(""Scenario 13/S13_TC035/Page_Brivge/li_Received Request List""))",Chrome 118.0.0.0,,,2023-10-30 21:51:39,2023-10-30 21:51:40,1.401s,PASSED
"click(findTestObject(""Scenario 17/S17_TC002/p_edit"", [""description"":description]))",Chrome 118.0.0.0,,,2023-10-30 21:51:40,2023-10-30 21:51:42,2.354s,PASSED
"click(findTestObject(""Scenario 12/SC12_TC004/button_Back""))",Chrome 118.0.0.0,turn on back button for debug,,2023-10-30 21:51:42,2023-10-30 21:51:42,0.004s,NOT_RUN
"click(findTestObject(""Scenario 12/SC12_TC004/button_Back""))",Chrome 118.0.0.0,turn on back button for debug,,2023-10-30 21:51:42,2023-10-30 21:51:42,0.002s,NOT_RUN
"click(findTestObject(""Scenario 13/S13_TC035/Page_Brivge/button_Next""))",Chrome 118.0.0.0,,,2023-10-30 21:51:42,2023-10-30 21:51:45,2.953s,PASSED
"click(findTestObject(""Scenario 13/S13_TC035/Page_Brivge/button_Download""))",Chrome 118.0.0.0,,,2023-10-30 21:51:45,2023-10-30 21:51:46,0.676s,PASSED
"click(findTestObject(""Scenario 13/S13_TC035/Page_Brivge/li_Download Part Form""))",Chrome 118.0.0.0,,,2023-10-30 21:51:46,2023-10-30 21:51:47,0.555s,PASSED
"verifyElementPresent(findTestObject(""Scenario 13/S13_TC035/Page_Brivge/div_The operation was successful""), 0)",Chrome 118.0.0.0,,,2023-10-30 21:51:47,2023-10-30 21:51:51,4.798s,PASSED
delay(2),Chrome 118.0.0.0,,,2023-10-30 21:51:51,2023-10-30 21:51:53,2.006s,PASSED
"downloadedExcel = ManageFiles.getLatestFileFromDirectory(""excel"")",Chrome 118.0.0.0,,,2023-10-30 21:51:53,2023-10-30 21:51:54,0.074s,PASSED
"callTestCase(findTestCase(""0-Common/Common-Scenario 17/S17_Cmn1-Write Info into Form Excel""), [""datafile"":datafile_contractPartsInfo, ""fileColumns"":fileColumns, ""startRowFormMinusOne"":startRowFormMinusOne, ""downloadedFormPath"":downloadedExcel, ... ], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-30 21:51:54,2023-10-30 21:52:13,18.978s,PASSED
"click(findTestObject(""Scenario 13/S13_TC035/Page_Brivge/button_Upload""))",Chrome 118.0.0.0,,,2023-10-30 21:52:13,2023-10-30 21:52:13,0.728s,PASSED
"RobotUpload.uploadFile(findTestObject(""Scenario 13/S13_TC035/Page_Brivge/li_Upload Master""), downloadedExcel)",Chrome 118.0.0.0,,,2023-10-30 21:52:13,2023-10-30 21:52:18,5.168s,PASSED
delay(2),Chrome 118.0.0.0,,,2023-10-30 21:52:18,2023-10-30 21:52:20,2.018s,PASSED
"verifyElementPresent(findTestObject(""Scenario 13/S13_TC035/Page_Brivge/div_Upload_The operation was successful""), 0)",Chrome 118.0.0.0,,,2023-10-30 21:52:20,2023-10-30 21:52:25,4.395s,PASSED
"click(findTestObject(""Scenario 13/S13_TC035/Page_Brivge/button_Next""))",Chrome 118.0.0.0,,,2023-10-30 21:52:25,2023-10-30 21:52:25,0.555s,PASSED
"click(findTestObject(""Scenario 17/S17_TC002/input__businessType""))",Chrome 118.0.0.0,,,2023-10-30 21:52:25,2023-10-30 21:52:29,3.397s,PASSED
"click(findTestObject(""Scenario 17/S17_TC002/li_businessType"", [""businessType"":businessType]))",Chrome 118.0.0.0,,,2023-10-30 21:52:29,2023-10-30 21:52:29,0.704s,PASSED
"click(findTestObject(""Scenario 17/S17_TC002/input__orderFrequency""))",Chrome 118.0.0.0,,,2023-10-30 21:52:29,2023-10-30 21:52:30,0.616s,PASSED
"click(findTestObject(""Scenario 17/S17_TC002/li_orderFrequency"", [""orderFrequency"":orderFrequency]))",Chrome 118.0.0.0,,,2023-10-30 21:52:30,2023-10-30 21:52:31,0.621s,PASSED
"click(findTestObject(""Scenario 9/SC9_TC004/input__deliveryToUid""))",Chrome 118.0.0.0,,,2023-10-30 21:52:31,2023-10-30 21:52:34,3.203s,PASSED
"click(findTestObject(""Scenario 9/SC9_TC004/li_deliveryTo"", [""deliveryTo"":deliveryTo]))",Chrome 118.0.0.0,,,2023-10-30 21:52:34,2023-10-30 21:52:35,0.746s,PASSED
"setText(findTestObject(""Scenario 17/S17_TC002/input__forecastNumber""), forecastNumber)",Chrome 118.0.0.0,,,2023-10-30 21:52:35,2023-10-30 21:52:36,1.698s,PASSED
"setText(findTestObject(""Scenario 17/S17_TC002/input__targetLeadTime""), targetLeadTime)",Chrome 118.0.0.0,,,2023-10-30 21:52:36,2023-10-30 21:52:38,1.232s,PASSED
"setText(findTestObject(""Scenario 9/SC9_TC004/input__confirmOrderLeadtime""), confirmOrderLeadTime)",Chrome 118.0.0.0,,,2023-10-30 21:52:38,2023-10-30 21:52:39,1.143s,PASSED
"setText(findTestObject(""Scenario 9/SC9_TC004/input__leadtime""), leadtime)",Chrome 118.0.0.0,,,2023-10-30 21:52:39,2023-10-30 21:52:40,0.958s,PASSED
"setText(findTestObject(""Scenario 9/SC9_TC004/input__deliveryPlanStartDate""), deliveryPlanStartDate)",Chrome 118.0.0.0,,,2023-10-30 21:52:40,2023-10-30 21:52:41,0.951s,PASSED
"setText(findTestObject(""Scenario 9/SC9_TC004/input__contractShortCode""), contractShortCode)",Chrome 118.0.0.0,,,2023-10-30 21:52:41,2023-10-30 21:52:42,1.040s,PASSED
"click(findTestObject(""Scenario 13/S13_TC035/Page_Received_Request_List/input__paymentTermsId""), STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-30 21:52:42,2023-10-30 21:52:42,0.643s,PASSED
"click(findTestObject(""Scenario 13/S13_TC035/Page_Received_Request_List/li_Payment Terms Code"", [""paymentTermCode"":paymentTermCode]))",Chrome 118.0.0.0,,,2023-10-30 21:52:42,2023-10-30 21:52:43,0.596s,PASSED
"click(findTestObject(""Scenario 13/S13_TC035/Page_Received_Request_List/input__currencyCode""))",Chrome 118.0.0.0,,,2023-10-30 21:52:43,2023-10-30 21:52:43,0.567s,PASSED
"click(findTestObject(""Scenario 13/S13_TC035/Page_Received_Request_List/li_Currency"", [""currency"":currency]))",Chrome 118.0.0.0,,,2023-10-30 21:52:43,2023-10-30 21:52:44,0.536s,PASSED
"click(findTestObject(""Scenario 13/S13_TC035/Page_Received_Request_List/input__priceBasis""))",Chrome 118.0.0.0,,,2023-10-30 21:52:44,2023-10-30 21:52:45,0.699s,PASSED
"click(findTestObject(""Scenario 13/S13_TC035/Page_Received_Request_List/li_Price Basis"", [""priceBasis"":priceBasis]))",Chrome 118.0.0.0,,,2023-10-30 21:52:45,2023-10-30 21:52:45,0.581s,PASSED
"click(findTestObject(""Scenario 9/SC9_TC002/input_shippingRouteCode""))",Chrome 118.0.0.0,,,2023-10-30 21:52:45,2023-10-30 21:52:46,0.831s,PASSED
"click(findTestObject(""Scenario 9/SC9_TC002/li_shippingRouteCode"", [""shippingRouteCode"":shippingRouteCode]))",Chrome 118.0.0.0,,,2023-10-30 21:52:46,2023-10-30 21:52:47,0.734s,PASSED
"click(findTestObject(""Scenario 17/S17_TC002/input_autoDiFlag""))",Chrome 118.0.0.0,,,2023-10-30 21:52:47,2023-10-30 21:52:48,0.678s,PASSED
"click(findTestObject(""Scenario 17/S17_TC002/li_autoDiFlag"", [""autoDIFlag"":autoDIFlag]))",Chrome 118.0.0.0,,,2023-10-30 21:52:48,2023-10-30 21:52:48,0.592s,PASSED
"setText(findTestObject(""Scenario 17/S17_TC002/input_routeDescription""), routeDescription)",Chrome 118.0.0.0,,,2023-10-30 21:52:48,2023-10-30 21:52:49,1.216s,PASSED
"click(findTestObject(""Scenario 13/S13_TC035/Page_Received_Request_List/input__customsFlag""))",Chrome 118.0.0.0,,,2023-10-30 21:52:49,2023-10-30 21:52:50,0.652s,PASSED
"click(findTestObject(""Scenario 13/S13_TC035/Page_Received_Request_List/li_Customs Flag"", [""customsFlag"":customsFlag]))",Chrome 118.0.0.0,,,2023-10-30 21:52:50,2023-10-30 21:52:51,0.670s,PASSED
"click(findTestObject(""Scenario 13/S13_TC035/Page_Brivge/button_Complete""))",Chrome 118.0.0.0,,,2023-10-30 21:52:51,2023-10-30 21:52:51,0.777s,PASSED
"click(findTestObject(""Scenario 13/S13_TC035/Page_Brivge/button_Confirm""))",Chrome 118.0.0.0,,,2023-10-30 21:52:51,2023-10-30 21:52:52,0.545s,PASSED
"verifyElementPresent(findTestObject(""Scenario 13/S13_TC035/Page_Brivge/div_Confirm Working.The operation was successful""), 0)",Chrome 118.0.0.0,,,2023-10-30 21:52:52,2023-10-30 21:52:58,6.131s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-30 21:52:58,2023-10-30 21:52:59,0.826s,PASSED
Start listener action : afterTestCase,Chrome 118.0.0.0,,,2023-10-30 21:52:59,2023-10-30 21:52:59,0.005s,PASSED
