Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S17_TC001-TC002,Chrome 118.0.0.0,,,2023-10-30 21:49:05,2023-10-30 21:52:59,3m - 53.516s,PASSED
,,,,,,,
Test Cases/Scenario 17/S17_TC001.2- Supplier Create Shipping Route,Chrome 118.0.0.0,,,2023-10-30 21:49:08,2023-10-30 21:50:52,1m - 44.008s,PASSED
Start listener action : beforeTestCase,Chrome 118.0.0.0,,,2023-10-30 21:49:16,2023-10-30 21:49:16,0.003s,PASSED
"callTestCase(findTestCase(""0-Common/Login to Brivge""), [""url"":BRIVGE_URL, ""username"":BAF_USERNAME_FATIN, ""password"":BAF_PWD, ""verificationCode"":VERIFICATION_CODE, ""company"":S17_BAF_SUP], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-30 21:49:18,2023-10-30 21:49:55,37.212s,PASSED
"click(findTestObject(""Object Repository/Scenario 13/S13_TC033_Shipping_Route/button_Master""))",Chrome 118.0.0.0,,,2023-10-30 21:49:55,2023-10-30 21:49:57,1.538s,PASSED
"click(findTestObject(""Object Repository/Scenario 13/S13_TC033_Shipping_Route/li_Shipping Route List""))",Chrome 118.0.0.0,,,2023-10-30 21:49:57,2023-10-30 21:49:58,1.503s,PASSED
"click(findTestObject(""Object Repository/Scenario 13/S13_TC033_Shipping_Route/button_add_shipping""))",Chrome 118.0.0.0,,,2023-10-30 21:49:58,2023-10-30 21:50:01,2.904s,PASSED
"setText(findTestObject(""Object Repository/Scenario 13/S13_TC033_Shipping_Route/input__shippingRouteCode""), ShippingRouteCode)",Chrome 118.0.0.0,,,2023-10-30 21:50:01,2023-10-30 21:50:04,2.788s,PASSED
"setText(findTestObject(""Object Repository/Scenario 13/S13_TC033_Shipping_Route/input__displayShippingRoute""), DisplayShippingRoute)",Chrome 118.0.0.0,,,2023-10-30 21:50:04,2023-10-30 21:50:05,1.196s,PASSED
"click(findTestObject(""Object Repository/Scenario 13/S13_TC033_Shipping_Route/button__activeFlag""))",Chrome 118.0.0.0,Click on List of ActiveFlag,,2023-10-30 21:50:05,2023-10-30 21:50:06,0.624s,PASSED
"click(findTestObject(""Scenario 13/S13_TC033_Shipping_Route/li_activeFlag"", [""ActiveFlag"":ActiveFlag]))",Chrome 118.0.0.0,Choose type ActiveFlag in List,,2023-10-30 21:50:06,2023-10-30 21:50:06,0.662s,PASSED
"click(findTestObject(""Object Repository/Scenario 13/S13_TC033_Shipping_Route/button__shippingMode""))",Chrome 118.0.0.0,Click on List of Shipping Mode,,2023-10-30 21:50:06,2023-10-30 21:50:07,0.614s,PASSED
"click(findTestObject(""Scenario 13/S13_TC033_Shipping_Route/li_shippingMode"", [""ShippingMode"":ShippingMode]))",Chrome 118.0.0.0,Choose type shipping mode in List,,2023-10-30 21:50:07,2023-10-30 21:50:08,0.619s,PASSED
"click(findTestObject(""Object Repository/Scenario 13/S13_TC033_Shipping_Route/button__fromRegion""))",Chrome 118.0.0.0,,,2023-10-30 21:50:08,2023-10-30 21:50:08,0.586s,PASSED
"click(findTestObject(""Scenario 13/S13_TC033_Shipping_Route/li_fromRegion"", [""FromRegion"":FromRegion]))",Chrome 118.0.0.0,,,2023-10-30 21:50:08,2023-10-30 21:50:09,0.847s,PASSED
"click(findTestObject(""Object Repository/Scenario 13/S13_TC033_Shipping_Route/button__toRegion""))",Chrome 118.0.0.0,,,2023-10-30 21:50:09,2023-10-30 21:50:10,0.661s,PASSED
"click(findTestObject(""Scenario 13/S13_TC033_Shipping_Route/li_toRegion"", [""ToRegion"":ToRegion]))",Chrome 118.0.0.0,,,2023-10-30 21:50:10,2023-10-30 21:50:10,0.613s,PASSED
"if (FromState != """")",Chrome 118.0.0.0,If have value in From State list,,2023-10-30 21:50:10,2023-10-30 21:50:10,0.001s,PASSED
"println(""value of toState is:"" + ToState + ""1"")",Chrome 118.0.0.0,If have value in To State list,,2023-10-30 21:50:10,2023-10-30 21:50:10,0.008s,PASSED
"if (ToState != """")",Chrome 118.0.0.0,,,2023-10-30 21:50:10,2023-10-30 21:50:10,0.001s,PASSED
"click(findTestObject(""Object Repository/Scenario 13/S13_TC033_Shipping_Route/button__shipperUid""))",Chrome 118.0.0.0,,,2023-10-30 21:50:10,2023-10-30 21:50:11,0.613s,PASSED
"click(findTestObject(""Scenario 13/S13_TC033_Shipping_Route/li_shipperUid"", [""ShipperUid"":ShipperUid]))",Chrome 118.0.0.0,,,2023-10-30 21:50:11,2023-10-30 21:50:12,0.628s,PASSED
"click(findTestObject(""Object Repository/Scenario 13/S13_TC033_Shipping_Route/button__receiverUid""))",Chrome 118.0.0.0,,,2023-10-30 21:50:12,2023-10-30 21:50:12,0.589s,PASSED
"click(findTestObject(""Scenario 13/S13_TC033_Shipping_Route/li_receiverUid"", [""ReceiverUid"":ReceiverUid]))",Chrome 118.0.0.0,,,2023-10-30 21:50:12,2023-10-30 21:50:13,0.665s,PASSED
if (FromRegion != ToRegion),Chrome 118.0.0.0,If shippier region is not same with receiver region ,,2023-10-30 21:50:13,2023-10-30 21:50:13,0.001s,PASSED
"scrollToElement(findTestObject(""Scenario 13/S13_TC033_Shipping_Route/svg_shippingInformation""), 0)",Chrome 118.0.0.0,Scroll to element Add Shipping Information button,,2023-10-30 21:50:13,2023-10-30 21:50:13,0.603s,PASSED
"click(findTestObject(""Scenario 13/S13_TC033_Shipping_Route/svg_shippingInformation""))",Chrome 118.0.0.0,Click add Shipping Information,,2023-10-30 21:50:13,2023-10-30 21:50:14,0.567s,PASSED
"click(findTestObject(""Object Repository/Scenario 13/S13_TC033_Shipping_Route/button_shippInformation_etdWeek""))",Chrome 118.0.0.0,,,2023-10-30 21:50:14,2023-10-30 21:50:15,1.131s,PASSED
