Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Scenario 9/SC9_TC001.1/button_Download""))",Chrome 118.0.0.0,,,2023-10-30 21:43:38,2023-10-30 21:43:39,1.732s,PASSED
"click(findTestObject(""Scenario 9/SC9_TC001.1/li_Download""))",Chrome 118.0.0.0,,,2023-10-30 21:43:39,2023-10-30 21:43:40,0.660s,PASSED
delay(2),Chrome 118.0.0.0,,,2023-10-30 21:43:40,2023-10-30 21:43:42,2.014s,PASSED
"downloadedExcel = ManageFiles.getLatestFileFromDirectory(""excel"")",Chrome 118.0.0.0,,,2023-10-30 21:43:42,2023-10-30 21:43:42,0.010s,PASSED
"callTestCase(findTestCase(""0-Common/Common-Scenario 17/S17_Cmn1-Write Info into Form Excel""), [""datafile"":datafile, ""fileColumns"":fileColumns, ""startRowFormMinusOne"":startRowFormMinusOne, ""downloadedFormPath"":downloadedExcel, ... ], STOP_ON_FAILURE)",Chrome 118.0.0.0,,,2023-10-30 21:43:42,2023-10-30 21:43:44,1.940s,PASSED
"click(findTestObject(""Scenario 13/S13_TC032/Page_Brivge/button_Upload""))",Chrome 118.0.0.0,,,2023-10-30 21:43:44,2023-10-30 21:43:45,0.669s,PASSED
"RobotUpload.uploadFile(findTestObject(""Scenario 9/SC9_TC001.1/li_Upload""), downloadedExcel)",Chrome 118.0.0.0,,,2023-10-30 21:43:45,2023-10-30 21:43:48,3.632s,PASSED
delay(2),Chrome 118.0.0.0,,,2023-10-30 21:43:48,2023-10-30 21:43:50,2.006s,PASSED
"verifyElementPresent(findTestObject(""Scenario 12/SC12_TC006.1/div_Upload Paymenterms Master.The operation was successful""), 0)",Chrome 118.0.0.0,,,2023-10-30 21:43:50,2023-10-30 21:44:07,16.650s,PASSED
closeBrowser(),Chrome 118.0.0.0,,,2023-10-30 21:44:07,2023-10-30 21:44:08,0.792s,PASSED
Start listener action : afterTestCase,Chrome 118.0.0.0,,,2023-10-30 21:44:08,2023-10-30 21:44:08,0.003s,PASSED
,,,,,,,
Test Cases/Scenario 17/S17_TC001.2- Supplier Create Shipping Route,Chrome 118.0.0.0,,,2023-10-30 21:47:30,2023-10-30 21:47:36,6.537s,SKIPPED
Start listener action : beforeTestCase,Chrome 118.0.0.0,,,2023-10-30 21:47:36,2023-10-30 21:47:36,0.006s,PASSED
Start listener action : afterTestCase,Chrome 118.0.0.0,,,2023-10-30 21:47:36,2023-10-30 21:47:36,0.001s,PASSED
,,,,,,,
Test Cases/Scenario 17/S17_TC002- Supplier Receive Request List,Chrome 118.0.0.0,,,2023-10-30 21:47:36,2023-10-30 21:47:44,7.641s,SKIPPED
Start listener action : beforeTestCase,Chrome 118.0.0.0,,,2023-10-30 21:47:44,2023-10-30 21:47:44,0.001s,PASSED
Start listener action : afterTestCase,Chrome 118.0.0.0,,,2023-10-30 21:47:44,2023-10-30 21:47:44,0.000s,PASSED
